‼   203c   double_exclamation_m…  ⁉   2049   exclamation_question…  ™    2122   trade_mark_sign        ℹ    2139   information_source   
🗻   1f5fb  mount_fuji             🗼   1f5fc  tokyo_tower            🗽    1f5fd  statue_of_liberty      🗾    1f5fe  silhouette_of_japan  
🗿   1f5ff  moyai                  😀   1f600  grinning_face          😁    1f601  grinning_face_with_s…  😂    1f602  face_with_tears_of_j…
😃   1f603  smiling_face_with_op…  😄   1f604  smiling_face_with_op…  😄    1f604  smiling_face_with_op…  😅    1f605  smiling_face_with_op…
😆   1f606  smiling_face_with_op…  😇   1f607  smiling_face_with_ha…  😈    1f608  smiling_face_with_ho…  😉    1f609  winking_face         
😊   1f60a  smiling_face_with_sm…  😋   1f60b  face_savouring_delic…  😌    1f60c  relieved_face          😍    1f60d  smiling_face_with_he…
😎   1f60e  smiling_face_with_su…  😏   1f60f  smirking_face          😐    1f610  neutral_face           😑    1f611  expressionless_face  
😒   1f612  unamused_face          😓   1f613  face_with_cold_sweat   😔    1f614  pensive_face           😕    1f615  confused_face        
😖   1f616  confounded_face        😗   1f617  kissing_face           😘    1f618  face_throwing_a_kiss   😙    1f619  kissing_face_with_sm…
😚   1f61a  kissing_face_with_cl…  😛   1f61b  face_with_stuck-out_…  😜    1f61c  face_with_stuck-out_…  😝    1f61d  face_with_stuck-out_…
😞   1f61e  disappointed_face      😟   1f61f  worried_face           😠    1f620  angry_face             😡    1f621  pouting_face         
😢   1f622  crying_face            😣   1f623  persevering_face       😤    1f624  face_with_look_of_tr…  😥    1f625  disappointed_but_rel…
😦   1f626  frowning_face_with_o…  😧   1f627  anguished_face         😨    1f628  fearful_face           😩    1f629  weary_face           
😪   1f62a  sleepy_face            😫   1f62b  tired_face             😬    1f62c  grimacing_face         😭    1f62d  loudly_crying_face   
😮   1f62e  face_with_open_mouth   😯   1f62f  hushed_face            😰    1f630  face_with_open_mouth…  😱    1f631  face_screaming_in_fe…
😲   1f632  astonished_face        😳   1f633  flushed_face           😴    1f634  sleeping_face          😵    1f635  dizzy_face           
😶   1f636  face_without_mouth     😷   1f637  face_with_medical_ma…  😸    1f638  grinning_cat_face_wi…  😹    1f639  cat_face_with_tears_…
😺   1f63a  smiling_cat_face_wit…  😻   1f63b  smiling_cat_face_wit…  😼    1f63c  cat_face_with_wry_sm…  😽    1f63d  kissing_cat_face_wit…
😾   1f63e  pouting_cat_face       😿   1f63f  crying_cat_face        🙀    1f640  weary_cat_face         🙁    1f641  slightly_frowning_fa…
🙂   1f642  slightly_smiling_fac…  🙃   1f643  u1f643                 🙄    1f644  u1f644                 🙅    1f645  face_with_no_good_ge…
🙆   1f646  face_with_ok_gesture   🙇   1f647  person_bowing_deeply   🙈    1f648  see-no-evil_monkey     🙉    1f649  hear-no-evil_monkey  
🙊   1f64a  speak-no-evil_monkey   🙋   1f64b  happy_person_raising…  🙌    1f64c  person_raising_both_…  🙍    1f64d  person_frowning      
🙎   1f64e  person_with_pouting_…  🙏   1f64f  person_with_folded_h…  🚀    1f680  rocket                 🚁    1f681  helicopter           
🚂   1f682  steam_locomotive       🚃   1f683  railway_car            🚄    1f684  high-speed_train       🚅    1f685  high-speed_train_wit…
🚆   1f686  train                  🚇   1f687  metro                  🚈    1f688  light_rail             🚉    1f689  station              
🚊   1f68a  tram                   🚋   1f68b  tram_car               🚌    1f68c  bus                    🚍    1f68d  oncoming_bus         
🚎   1f68e  trolleybus             🚏   1f68f  bus_stop               🚐    1f690  minibus                🚑    1f691  ambulance            
🚒   1f692  fire_engine            🚓   1f693  police_car             🚔    1f694  oncoming_police_car    🚕    1f695  taxi                 
🚖   1f696  oncoming_taxi          🚗   1f697  automobile             🚘    1f698  oncoming_automobile    🚙    1f699  recreational_vehicle 
🚚   1f69a  delivery_truck         🚛   1f69b  articulated_lorry      🚜    1f69c  tractor                🚝    1f69d  monorail             
🚞   1f69e  mountain_railway       🚟   1f69f  suspension_railway     🚠    1f6a0  mountain_cableway      🚡    1f6a1  aerial_tramway       
🚢   1f6a2  ship                   🚣   1f6a3  rowboat                🚤    1f6a4  speedboat              🚥    1f6a5  horizontal_traffic_l…
🚦   1f6a6  vertical_traffic_lig…  🚧   1f6a7  construction_sign      🚨    1f6a8  police_cars_revolvin…  🚩    1f6a9  triangular_flag_on_p…
🚪   1f6aa  door                   🚫   1f6ab  no_entry_sign          🚬    1f6ac  smoking_symbol         🚭    1f6ad  no_smoking_symbol    
🚮   1f6ae  put_litter_in_its_pl…  🚯   1f6af  do_not_litter_symbol   🚰    1f6b0  potable_water_symbol   🚱    1f6b1  non-potable_water_sy…
🚲   1f6b2  bicycle                🚳   1f6b3  no_bicycles            🚴    1f6b4  bicyclist              🚵    1f6b5  mountain_bicyclist   
🚶   1f6b6  pedestrian             🚷   1f6b7  no_pedestrians         🚸    1f6b8  children_crossing      🚹    1f6b9  mens_symbol          
🚺   1f6ba  womens_symbol          🚻   1f6bb  restroom               🚼    1f6bc  baby_symbol            🚽    1f6bd  toilet               
🚾   1f6be  water_closet           🚿   1f6bf  shower                 🛀    1f6c0  bath                   🛁    1f6c1  bathtub              
🛂   1f6c2  passport_control       🛃   1f6c3  customs                🛄    1f6c4  baggage_claim          🛅    1f6c5  left_luggage         
🛋   1f6cb  couch_and_lamp         🛌   1f6cc  sleeping_accommodati…  🛍    1f6cd  shopping_bags          🛎    1f6ce  bellhop_bell         
🛏   1f6cf  bed                    🛐   1f6d0  u1f6d0                 🛑    1f6d1  u1f6d1                 🛒    1f6d2  u1f6d2               
🛠   1f6e0  hammer_and_wrench      🛡   1f6e1  shield                 🛢    1f6e2  oil_drum               🛣    1f6e3  motorway             
🛤   1f6e4  railway_track          🛥   1f6e5  motor_boat             🛩    1f6e9  small_airplane         🛫    1f6eb  airplane_departure   
🛬   1f6ec  airplane_arriving      🛰   1f6f0  satellite              🛳    1f6f3  passenger_ship         🛴    1f6f4  u1f6f4               
🛵   1f6f5  u1f6f5                 🛶   1f6f6  u1f6f6                 🤐    1f910  u1f910                 🤑    1f911  u1f911               
🤒   1f912  u1f912                 🤓   1f913  u1f913                 🤔    1f914  u1f914                 🤕    1f915  u1f915               
🤖   1f916  u1f916                 🤗   1f917  u1f917                 🤘    1f918  u1f918                 🤙    1f919  u1f919               
🤚   1f91a  u1f91a                 🤛   1f91b  u1f91b                 🤜    1f91c  u1f91c                 🤝    1f91d  u1f91d               
🤞   1f91e  u1f91e                 🤠   1f920  u1f920                 🤡    1f921  u1f921                 🤢    1f922  u1f922               
🤣   1f923  u1f923                 🤤   1f924  u1f924                 🤥    1f925  u1f925                 🤦    1f926  u1f926               
🤧   1f927  u1f927                 🤰   1f930  u1f930                 🤳    1f933  u1f933                 🤴    1f934  u1f934               
🤵   1f935  u1f935                 🤶   1f936  u1f936                 🤷    1f937  u1f937                 🤸    1f938  u1f938               
🤹   1f939  u1f939                 🤺   1f93a  u1f93a                 🤼    1f93c  u1f93c                 🤽    1f93d  u1f93d               
🤾   1f93e  u1f93e                 🥀   1f940  u1f940                 🥁    1f941  u1f941                 🥂    1f942  u1f942               
🥃   1f943  u1f943                 🥄   1f944  u1f944                 🥅    1f945  u1f945                 🥇    1f947  u1f947               
🥈   1f948  u1f948                 🥉   1f949  u1f949                 🥊    1f94a  u1f94a                 🥋    1f94b  u1f94b               
🥐   1f950  u1f950                 🥑   1f951  u1f951                 🥒    1f952  u1f952                 🥓    1f953  u1f953               
🥔   1f954  u1f954                 🥕   1f955  u1f955                 🥖    1f956  u1f956                 🥗    1f957  u1f957               
🥘   1f958  u1f958                 🥙   1f959  u1f959                 🥚    1f95a  u1f95a                 🥛    1f95b  u1f95b               
🥜   1f95c  u1f95c                 🥝   1f95d  u1f95d                 🥞    1f95e  u1f95e                 🦀    1f980  u1f980               
🦁   1f981  u1f981                 🦂   1f982  u1f982                 🦃    1f983  u1f983                 🦄    1f984  u1f984               
🦅   1f985  u1f985                 🦆   1f986  u1f986                 🦇    1f987  u1f987                 🦈    1f988  u1f988               
🦉   1f989  u1f989                 🦊   1f98a  u1f98a                 🦋    1f98b  u1f98b                 🦌    1f98c  u1f98c               
🦍   1f98d  u1f98d                 🦎   1f98e  u1f98e                 🦏    1f98f  u1f98f                 🦐    1f990  u1f990               
🦑   1f991  u1f991                 🧀   1f9c0  u1f9c0                                                                                     
