‼   203c   double_exclamation_m…  ⁉   2049   exclamation_question…  ™    2122   trade_mark_sign        ℹ    2139   information_source   
🇷   1f1f7  regional_indicator_s…  🇸   1f1f8  regional_indicator_s…  🇹    1f1f9  regional_indicator_s…  🇺    1f1fa  regional_indicator_s…
🇻   1f1fb  regional_indicator_s…  🇼   1f1fc  regional_indicator_s…  🇽    1f1fd  regional_indicator_s…  🇾    1f1fe  regional_indicator_s…
🇿   1f1ff  regional_indicator_s…  🈁   1f201  squared_katakana_kok…  🈂    1f202  squared_katakana_sa    🈚    1f21a  squared_cjk_unified_…
🈯   1f22f  squared_cjk_unified_…  🈲   1f232  squared_cjk_unified_…  🈳    1f233  squared_cjk_unified_…  🈴    1f234  squared_cjk_unified_…
🈵   1f235  squared_cjk_unified_…  🈶   1f236  squared_cjk_unified_…  🈷    1f237  squared_cjk_unified_…  🈸    1f238  squared_cjk_unified_…
🈹   1f239  squared_cjk_unified_…  🈺   1f23a  squared_cjk_unified_…  🉐    1f250  circled_ideograph_ad…  🉑    1f251  circled_ideograph_ac…
🌀   1f300  cyclone                🌁   1f301  foggy                  🌂    1f302  closed_umbrella        🌃    1f303  night_with_stars     
🌄   1f304  sunrise_over_mountai…  🌅   1f305  sunrise                🌆    1f306  cityscape_at_dusk      🌇    1f307  sunset_over_building…
🌈   1f308  rainbow                🌉   1f309  bridge_at_night        🌊    1f30a  water_wave             🌋    1f30b  volcano              
🌌   1f30c  milky_way              🌍   1f30d  earth_globe_europe-a…  🌎    1f30e  earth_globe_americas   🌏    1f30f  earth_globe_asia-aus…
🌐   1f310  globe_with_meridians   🌑   1f311  new_moon_symbol        🌒    1f312  waxing_crescent_moon…  🌓    1f313  first_quarter_moon_s…
🌔   1f314  waxing_gibbous_moon_…  🌕   1f315  full_moon_symbol       🌖    1f316  waning_gibbous_moon_…  🌗    1f317  last_quarter_moon_sy…
🌘   1f318  waning_crescent_moon…  🌙   1f319  crescent_moon          🌚    1f31a  new_moon_with_face     🌛    1f31b  first_quarter_moon_w…
🌜   1f31c  last_quarter_moon_wi…  🌝   1f31d  full_moon_with_face    🌞    1f31e  sun_with_face          🌟    1f31f  glowing_star         
🌠   1f320  shooting_star          🌡   1f321  thermometer            🌤    1f324  white_sun_with_small…  🌥    1f325  white_sun_behind_clo…
🌦   1f326  white_sun_behind_clo…  🌧   1f327  cloud_with_rain        🌨    1f328  cloud_with_snow        🌩    1f329  cloud_with_lightning 
🌪   1f32a  cloud_with_tornado     🌫   1f32b  fog                    🌬    1f32c  wind_blowing_face      🌭    1f32d  u1f32d               
🌮   1f32e  u1f32e                 🌯   1f32f  u1f32f                 🌰    1f330  chestnut               🌱    1f331  seedling             
🌲   1f332  evergreen_tree         🌳   1f333  deciduous_tree         🌴    1f334  palm_tree              🌵    1f335  cactus               
🌶   1f336  hot_pepper             🌷   1f337  tulip                  🌸    1f338  cherry_blossom         🌹    1f339  rose                 
🌺   1f33a  hibiscus               🌻   1f33b  sunflower              🌼    1f33c  blossom                🌽    1f33d  ear_of_maize         
🌾   1f33e  ear_of_rice            🌿   1f33f  herb                   🍀    1f340  four_leaf_clover       🍁    1f341  maple_leaf           
🍂   1f342  fallen_leaf            🍃   1f343  leaf_fluttering_in_w…  🍄    1f344  mushroom               🍅    1f345  tomato               
🍆   1f346  aubergine              🍇   1f347  grapes                 🍈    1f348  melon                  🍉    1f349  watermelon           
🍊   1f34a  tangerine              🍋   1f34b  lemon                  🍌    1f34c  banana                 🍍    1f34d  pineapple            
🍎   1f34e  red_apple              🍏   1f34f  green_apple            🍐    1f350  pear                   🍑    1f351  peach                
🍒   1f352  cherries               🍓   1f353  strawberry             🍔    1f354  hamburger              🍕    1f355  slice_of_pizza       
🍖   1f356  meat_on_bone           🍗   1f357  poultry_leg            🍘    1f358  rice_cracker           🍙    1f359  rice_ball            
🍚   1f35a  cooked_rice            🍛   1f35b  curry_and_rice         🍜    1f35c  steaming_bowl          🍝    1f35d  spaghetti            
🍞   1f35e  bread                  🍟   1f35f  french_fries           🍠    1f360  roasted_sweet_potato   🍡    1f361  dango                
🍢   1f362  oden                   🍣   1f363  sushi                  🍤    1f364  fried_shrimp           🍥    1f365  fish_cake_with_swirl…
🍦   1f366  soft_ice_cream         🍧   1f367  shaved_ice             🍨    1f368  ice_cream              🍩    1f369  doughnut             
🍪   1f36a  cookie                 🍫   1f36b  chocolate_bar          🍬    1f36c  candy                  🍭    1f36d  lollipop             
🍮   1f36e  custard                🍯   1f36f  honey_pot              🍰    1f370  shortcake              🍱    1f371  bento_box            
🍲   1f372  pot_of_food            🍳   1f373  cooking                🍴    1f374  fork_and_knife         🍵    1f375  teacup_without_handl…
🍶   1f376  sake_bottle_and_cup    🍷   1f377  wine_glass             🍸    1f378  cocktail_glass         🍹    1f379  tropical_drink       
🍺   1f37a  beer_mug               🍻   1f37b  clinking_beer_mugs     🍼    1f37c  baby_bottle            🍽    1f37d  fork_and_knife_with_…
🍾   1f37e  u1f37e                 🍿   1f37f  u1f37f                 🎀    1f380  ribbon                 🎁    1f381  wrapped_present      
🎂   1f382  birthday_cake          🎃   1f383  jack-o-lantern         🎄    1f384  christmas_tree         🎅    1f385  father_christmas     
🎆   1f386  fireworks              🎇   1f387  firework_sparkler      🎈    1f388  balloon                🎉    1f389  party_popper         
🎊   1f38a  confetti_ball          🎋   1f38b  tanabata_tree          🎌    1f38c  crossed_flags          🎍    1f38d  pine_decoration      
🎎   1f38e  japanese_dolls         🎏   1f38f  carp_streamer          🎐    1f390  wind_chime             🎑    1f391  moon_viewing_ceremon…
🎒   1f392  school_satchel         🎓   1f393  graduation_cap         🎖    1f396  military_medal         🎗    1f397  reminder_ribbon      
🎙   1f399  studio_microphone      🎚   1f39a  level_slider           🎛    1f39b  control_knobs          🎞    1f39e  film_frames          
🎟   1f39f  admission_tickets      🎠   1f3a0  carousel_horse         🎡    1f3a1  ferris_wheel           🎢    1f3a2  roller_coaster       
🎣   1f3a3  fishing_pole_and_fis…  🎤   1f3a4  microphone             🎥    1f3a5  movie_camera           🎦    1f3a6  cinema               
🎧   1f3a7  headphone              🎨   1f3a8  artist_palette         🎩    1f3a9  top_hat                🎪    1f3aa  circus_tent          
🎫   1f3ab  ticket                 🎬   1f3ac  clapper_board          🎭    1f3ad  performing_arts        🎮    1f3ae  video_game           
